BenefitID,UsageCostDelta
1,2.137187454761867
2,16.06327718404557
3,-25.043092489521054
4,-6.843599303848498
5,-0.17697663971248945
6,11.239782456744818
7,17.10262113830625
8,-2.7989510686799197
9,10.29628900439261
10,-29.194099930213504
11,54.63959244819543
12,-12.687048034607754
13,0.315831823758771
14,2.693191898519646
15,-2.2858267860322647
16,7.5194060347783855
17,-17.031577974424835
18,-31.288345881776113
19,34.37858263700437
20,-8.61548300839665
21,-9.951402270767282
22,-13.84201371428522
23,-52.21471867812938
24,-13.564147290138825
25,-41.238796881191355
26,-2.832600671428571
27,-46.11407727763693
28,1.691871899801594
29,9.632265499798207
30,94.02870953247329
